Nombre,Licencias,Dominios,statusesCount,followersCount,friendsCount,created,listedCount,UsuarioTwitter
"Beatya Online Entertainment, PLC","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots,Deportivas de contrapartida",www.starvegas.es,,,,,,
"Betfair International, PLC","Póquer,Ruleta,Black Jack,Máquinas de azar - slots,Deportivas de contrapartida,Deportivas cruzadas,Hípicas de contrapartida,Otras de contrapartida,Otras apuestas cruzadas",www.betfair.es,25570,14569,3632,2009-04-20 13:48:18,312,Betfair_ES
"Betway Spain, PLC","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots",www.betway.es,198,52,58,2017-03-27 15:33:33,0,BetwayES
"Casino Barcelona Interactivo, SA","Póquer,Ruleta,Black Jack,Máquinas de azar - slots",www.casinobarcelona.es,13645,2500,268,2012-07-13 07:04:16,33,CasinoBcnES
"Cirsa Digital, SAU","Póquer,Bingo,Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots,Deportivas de contrapartida,Hípicas de contrapartida,Otras de contrapartida",www.sportium.es,21232,40572,564,2009-10-22 08:47:55,178,sportium
"Comar Inversiones, SA","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots,Deportivas de contrapartida",www.ijuego.es,,,,,,
"Ebingo Online España, SA","Bingo,Ruleta,Black Jack,Máquinas de azar - slots",ebingo.es,4796,759,624,2014-06-02 16:24:52,17,ebingo_es
"Ekasa Apuestas Online, S.A.","Deportivas de contrapartida,Otras de contrapartida",apuestas.retabet.es,11802,4153,376,2010-01-07 14:40:38,56,apuestasRETA
"Electraworks España, PLC","Póquer,Ruleta,Black Jack,Máquinas de azar - slots,Deportivas de contrapartida","www.bwin.es,www.partypoker.es,",40609,187402,2617,2011-10-04 11:37:51,391,bwin_es
"Euroapuestas Online, SAU","Ruleta,Black Jack,Máquinas de azar - slots,Deportivas de contrapartida,Otras de contrapartida",www.paston.es,583,251,310,2016-11-21 16:46:42,4,Paston_es
"Eurobet International, SPA",,,,,,,,
"Eurobox, S.A.","Ruleta,Black Jack,Máquinas de azar - slots,Deportivas de contrapartida",www.circus.es,270,159,234,2014-02-25 08:59:40,1,circus_es
"Golden Park Games, SA","Ruleta,Black Jack,Máquinas de azar - slots,Deportivas de contrapartida,Hípicas de contrapartida","http://www.goldenpark.es,www.todoslots.es,",22053,10950,4290,2011-07-28 13:27:40,52,GoldenPark_Esp
"Gtech Spain, SA","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots",,,,,,,
"Hillside Spain New Media, PLC","Deportivas de contrapartida,Hípicas de contrapartida,Otras de contrapartida",www.bet365.es,56267,112496,366,2011-10-26 16:26:11,258,bet365_es
"Interwetten España, PLC","Ruleta,Black Jack,Máquinas de azar - slots,Deportivas de contrapartida",www.interwetten.es,1762,377,189,2015-01-31 10:53:25,20,Interwetten_Esp
"Juego Online, EAD","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots,Deportivas de contrapartida","www.titanbet.es,poker.titanbet.es,casino.titanbet.es,www.dlp.titanbet.es,",368,391,198,2014-07-17 10:50:26,7,Titanbet_Espana
"Kambi Spain, PLC","Deportivas de contrapartida,Hípicas de contrapartida,Otras de contrapartida",,,,,,,
"Luckia Games, SA","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots,Deportivas mutuas,Deportivas de contrapartida,Hípicas de contrapartida,Otras de contrapartida",www.luckia.es,23433,10776,100,2012-05-15 08:43:44,128,luckia_es
"Marathonbet Spain, SA","Ruleta,Black Jack,Punto y banca,Deportivas de contrapartida","www.mbet.es,www.maratonbet.es,www.marathonbet.es,",6705,2649,210,2016-07-22 13:42:17,15,Marathonbet_es
"Merkur Interactive Malta, PLC","Ruleta,Black Jack,Máquinas de azar - slots",www.merkurmagic.es,166,18,45,2014-12-11 13:23:44,0,merkurmagic
"Paf-Consulting, ABP","Bingo,Ruleta,Black Jack,Máquinas de azar - slots,Deportivas de contrapartida,Otras de contrapartida",http://www.paf.es,,,,,,
"Plataforma de Apuestas Cruzadas, S.A.",Deportivas cruzadas,http://www.carcaj.es,,,,,,
"Première Megaplex, SA","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots","www.premiercasino.es,www.starcasino.es,",2646,913,219,2013-03-19 18:16:04,6,StarCasino_ES
"Reel Spain, PLC","Póquer,Ruleta,Black Jack,Máquinas de azar - slots,Deportivas de contrapartida,Hípicas de contrapartida,Otras de contrapartida","www.pokerstars.es,www.betstars.es,",7467,27992,48,2011-03-04 15:25:04,190,PokerStarsSpain
"Rfranco Digital, SAU.","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots,Deportivas de contrapartida",www.wanabet.es,12793,15062,5865,2015-08-26 08:18:21,93,wanabet_es
"SKS365 España, PLC","Ruleta,Máquinas de azar - slots,Deportivas de contrapartida,Otras de contrapartida",planetwin365.es,0,86,0,2015-02-20 14:36:19,2,planetwin365es
"Tele Apostuak, SA","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots,Deportivas mutuas,Deportivas de contrapartida,Hípicas de contrapartida,Otras de contrapartida",apuestas.kirolbet.es,11714,9203,110,2012-06-21 09:32:07,83,Kirolbet_es
"Whg Spain, PLC","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots,Deportivas de contrapartida,Hípicas de contrapartida,Otras de contrapartida",www.williamhill.es,15835,7380,484,2012-02-20 10:04:50,87,WilliamHillES
"Bingosoft, PLC","Bingo,Ruleta,Máquinas de azar - slots",www.yobingo.es,1119,778,110,2012-06-13 14:29:17,5,Yobingo
"Digital Distribution Management Ibérica, SA","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots",www.casino777.es,49,53,408,2016-12-01 15:13:30,0,Casino777es
"Gamesys Spain, PLC","Bingo,Ruleta,Black Jack,Máquinas de azar - slots","www.botemania.es,www.canalbingo.es,m.canalbingo.es,m.botemania.es,",5855,1968,210,2009-03-24 09:41:35,20,botemania
"Giga Game Online, SA",,,,,,,,
"Hillside España Leisure, SA","Póquer,Ruleta,Black Jack,Máquinas de azar - slots","www.bet365.es,casino.bet365.es,mobile.bet365.es,poker.bet365.es,slots.bet365.es,",,,,,,
"NetEnt Gaming Solutions, PLC",Máquinas de azar - slots,,,,,,,
"Prima Networks Spain, PLC","Bingo,Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots",,,,,,,
"Pt Entretenimiento Online, EAD","Póquer,Máquinas de azar - slots",,,,,,,
"Rank Digital España, S.A.","Bingo,Ruleta,Black Jack,Máquinas de azar - slots",www.enracha.es,1084,641,396,2012-08-08 10:00:34,6,enracha
"Tómbola International, PLC",Bingo,www.tombola.es,2370,464,170,2012-05-29 07:44:55,14,BingoTombola
"Ventura24games, SA",,,15612,3608,971,2010-05-22 07:16:54,38,ventura24
"Vive La Suerte, SA","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots",www.vivelasuerte.es,4939,686,183,2011-12-27 18:43:39,9,vivelasuerte
