Nombre,Licencias,Dominios
"Golden Park Games, SA","Ruleta,Black Jack,Máquinas de azar - slots,Deportivas de contrapartida,Hípicas de contrapartida","http://www.goldenpark.es,www.todoslots.es,"
"Gtech Spain, SA","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots",
"Hillside Spain New Media, PLC","Deportivas de contrapartida,Hípicas de contrapartida,Otras de contrapartida",www.bet365.es
"Interwetten España, PLC","Ruleta,Black Jack,Máquinas de azar - slots,Deportivas de contrapartida",www.interwetten.es
"Juego Online, EAD","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots,Deportivas de contrapartida","www.titanbet.es,poker.titanbet.es,casino.titanbet.es,www.dlp.titanbet.es,"
"Kambi Spain, PLC","Deportivas de contrapartida,Hípicas de contrapartida,Otras de contrapartida",
"Luckia Games, SA","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots,Deportivas mutuas,Deportivas de contrapartida,Hípicas de contrapartida,Otras de contrapartida",www.luckia.es
"Marathonbet Spain, SA","Ruleta,Black Jack,Punto y banca,Deportivas de contrapartida","www.mbet.es,www.maratonbet.es,www.marathonbet.es,"
"Merkur Interactive Malta, PLC","Ruleta,Black Jack,Máquinas de azar - slots",www.merkurmagic.es
"Paf-Consulting, ABP","Bingo,Ruleta,Black Jack,Máquinas de azar - slots,Deportivas de contrapartida,Otras de contrapartida",http://www.paf.es
"Plataforma de Apuestas Cruzadas, S.A.",Deportivas cruzadas,http://www.carcaj.es
"Première Megaplex, SA","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots","www.premiercasino.es,www.starcasino.es,"
"Reel Spain, PLC","Póquer,Ruleta,Black Jack,Máquinas de azar - slots,Deportivas de contrapartida,Hípicas de contrapartida,Otras de contrapartida","www.pokerstars.es,www.betstars.es,"
"Rfranco Digital, SAU.","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots,Deportivas de contrapartida",www.wanabet.es
"SKS365 España, PLC","Ruleta,Máquinas de azar - slots,Deportivas de contrapartida,Otras de contrapartida",planetwin365.es
"Tele Apostuak, SA","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots,Deportivas mutuas,Deportivas de contrapartida,Hípicas de contrapartida,Otras de contrapartida",apuestas.kirolbet.es
"Whg Spain, PLC","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots,Deportivas de contrapartida,Hípicas de contrapartida,Otras de contrapartida",www.williamhill.es
"Bingosoft, PLC","Bingo,Ruleta,Máquinas de azar - slots",www.yobingo.es
"Digital Distribution Management Ibérica, SA","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots",www.casino777.es
"Gamesys Spain, PLC","Bingo,Ruleta,Black Jack,Máquinas de azar - slots","www.botemania.es,www.canalbingo.es,m.canalbingo.es,m.botemania.es,"
"Giga Game Online, SA",,
"Hillside España Leisure, SA","Póquer,Ruleta,Black Jack,Máquinas de azar - slots","www.bet365.es,casino.bet365.es,mobile.bet365.es,poker.bet365.es,slots.bet365.es,"
"NetEnt Gaming Solutions, PLC",Máquinas de azar - slots,
"Prima Networks Spain, PLC","Bingo,Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots",
"Pt Entretenimiento Online, EAD","Póquer,Máquinas de azar - slots",
"Rank Digital España, S.A.","Bingo,Ruleta,Black Jack,Máquinas de azar - slots",www.enracha.es
"Tómbola International, PLC",Bingo,www.tombola.es
"Ventura24games, SA",,
"Vive La Suerte, SA","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots",www.vivelasuerte.es
