Nombre,NombreDel,Enlace,Localidad
"Codere Online, SAU",CODERE APUESTAS DEPORTIVAS S A U,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=Okhleo1cf+e2pwwhMSxelcDr/WvOOBraBbZPqiDRL4Y=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,NOAIN
"Codere Online, SAU",CODERE APUESTAS EXTREMADURA S.A.U.,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=qjz01uk0/h71/IVy0qoVpxEpHp48ndnormjxtCgmWcY=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,CACERES
"Codere Online, SAU",CODERE APUESTAS GALICIA SL,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=sQ/cK9u9EOanKk1J/qsiTbUqFxlPF+eeYR3wFe2PRDI=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,CORUÑA (A)
"Codere Online, SAU",CODERE APUESTAS LA RIOJA SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=us3q3t03ZmkpyIBfBK1r18BQF54l3l98yeST1aMSh+8=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,ARRUBAL
"Codere Online, SAU","CODERE APUESTAS MELILLA, S.A.",http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=ABkXhbbNkuBR1Pr/V58tRSb1BsSHI308FJB+GfbqxaQ=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,MELILLA
"Codere Online, SAU",CODERE APUESTAS MURCIA SL,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=Z+IZWvY/ubhTeu7vBufBtvTPEUyIwqJeKos+K7YlCHw=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,MURCIA
"Codere Online, SAU",CODERE APUESTAS NAVARRA SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=KyuWinwTh7U/wKzVw7g0lzhY51jyf/EV1AhFUZlfPgo=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,PAMPLONA
"Codere Online, SAU",CODERE APUESTAS SA UNIPERSONAL,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=Abbc2cFzP5VollarKOwETIqjb8K72YoKvn/g9Smm7YM=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,ALCOBENDAS
"Codere Online, SAU",CODERE APUESTAS VALENCIA SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=1k77tarzIoo9VLbQjpszPGWYHcKE6ctMvYmpT9+iu3w=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,PICANYA
"Codere Online, SAU",CODERE INTERACTIVA SL,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=vKEx4cDs2utuQ+iyOHHf97O+xFo0uwuChxb2bqupx6Y=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,ALCOBENDAS
"Codere Online, SAU",CODERE ON LINE SAU,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=KlgnDYc/5PA9/MHelDnoeQ03or/6gJa5++y8VPbmQZw=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,ALCOBENDAS
"Concursos Multiplataformas, SAU",CONCURSOS MULTIPLATAFORMAS SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=jL0ogEuly9/sVGe9CmVMBsKPtX7kI57wmQr3NBQvxg8=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,MADRID
"Concursos Multiplataformas, SAU",CONCURSOS MULTIPLATAFORMAS SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=GmJsiAv54uk607hsHiyIkk+/p2p0lXf3ffWoLUarDKM=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,MADRID
"Sociedad Estatal Loterías y Apuestas del Estado, S.M.E.,S.A.",SOCIEDAD AMIGOS DEL NOBLE BRUTO,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=7IlpvY/homMsknOkfa5/u2hsRR4CcBExTuJhxN5/TsY=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,MAO-MAHON
"Sociedad Estatal Loterías y Apuestas del Estado, S.M.E.,S.A.",SOCIEDAD ESTATAL LOTERIAS Y APUESTAS DEL ESTADO SME SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=8wAn9gbcr3/c823kUTtFtGtjLCDYYrZdGn2SMM4zHcs=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,MADRID
"Sociedad Estatal Loterías y Apuestas del Estado, S.M.E.,S.A.",SOCIEDAD ESTATAL LOTERIAS Y APUESTAS DEL ESTADO SME SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=Hb6YzhkBTf4KV8Kz0NdKpRcm7xCINRcS95h9mei++NY=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,MADRID
"Suertia Interactiva, SA",SUERTIA INTERACTIVA SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=5UnfsNYWn+iCWKvgXwO+vZZVqD5RnKcJcLzo+qwNT2o=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,BARCELONA
"Unidad Editorial Juegos, SA","UNIDAD EDITORIAL JUEGOS, S.A.",http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=mHI7hKbphTRri5YXg3lfAFpPvDtPKxYM+vghfkWiaPI=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,MADRID
"Banegras Unión, SA",BANEGRAS UNION SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=O5ttai/35B1uYd99ssr/6nXwVHEDck6y4Sa7OqchbcY=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,VALENCIA
"Casino Barcelona Interactivo, SA",CASINO BARCELONA INTERACTIVO SAU,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=QSUlFfRtIvYFfeYml5cRtuMj3Owi1zO/feE/6vL0bpU=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,BARCELONA
"Cirsa Digital, SAU",CIRSA DIGITAL SAU,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=xYvRS9aWg0Lqkrqy+l5HPSC5JLZhqSji+OTnIeGPxbg=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,TERRASSA
"Comar Inversiones, SA",COMAR INVERSIONES SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=vG8DIipRz035OJowLwg5Y/zmRUh0YHUU7dAA+L/Z/cQ=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,CORUÑA (A)
"Ekasa Apuestas Online, S.A.",EKASA APUESTAS ONLINE SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=mbKnb4iNpzgI4kHtc6neNh0KIZvX20jxzMS6GRvDQmw=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,ZAMUDIO
"Euroapuestas Online, SAU","EUROAPUESTAS ONLINE, S.A.",http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=kgBVLQ1f94CxzmtsQioptshs1Zrf4vsKyMiHYH99zQg=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,CATARROJA
"Eurobox, S.A.",EUROBOX SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=FGmPDkTd5u2LA7uXRouys7LQk0cEhY8YEajiQgVjSmU=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,MALAGA
"Golden Park Games, SA",GOLDEN PARK GAMES SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=7rzXcjzDaFL3NjZWcO9GvXZiFyWGgfhCwFpD27ocLHY=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,CERDANYOLA DEL VALLES
"Golden Park Games, SA",GOLDEN PARK GAMES SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=zrXbRwBDWK+8TLREk3lX5BHcJHC9lF8jRi4mwU94Wmw=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,BARRIOS (LOS)
"Hillside Spain New Media, PLC",HILLSIDE ESPAÑA LEISURE SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=NoPENZk1OsB09/gad07ARZxyC3f/qnsAdge0qfDmuyg=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,MADRID
"Juego Online, EAD",JUEGOS DON MANOLITO SL,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=B2P9JbhFK4OmQhGB+ZPAh++U71JsIhJjsC1h8A4qN3I=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,CARTAGENA
"Juego Online, EAD",JUEGOS Y LOTERIAS ESMARU SL,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=TIVyDkKWmYPGMfsum/38CoWGlnfN7AQayBHU9FO/dfE=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,MADRID
"Luckia Games, SA",LUCKIA GAMES SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=1+aqzGnlQgM60PS8/u6JYfb1OTJFVARkl0+Do6LcZzQ=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,CORUÑA (A)
"Merkur Interactive Malta, PLC",MERKUR INTERACTIVE MALTA PLC,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=asqTPf57xjE/RjSPWnmFqftm5YFsaNefSVpDQgcbiUA=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,PALMA DE MALLORCA
"Plataforma de Apuestas Cruzadas, S.A.",PLATAFORMA DE APUESTAS CRUZADAS S.A.,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=aWfqC+Qqn3dV/lfKQd6x8sMUjjJVU2jBwd/1TcNDd+0=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,BARCELONA
"Tele Apostuak, SA",TELE APOSTUAK PROM JUEGOS Y APUESTAS SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=loXvkuHhCpVp5ShwXar/WgMWY4EwICaLlXTDCde5O7w=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,IBARRA
"Tele Apostuak, SA",TELE APOSTUAK PROMOTORA JUEGOS Y APUESTAS SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=hOG7sgMQYOJc/FleDIM6KunqbeQ5GyuRltLOklG+7xo=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,VITORIA
"Hillside España Leisure, SA",HILLSIDE ESPAÑA LEISURE SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=NoPENZk1OsB09/gad07ARZxyC3f/qnsAdge0qfDmuyg=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,MADRID
"Rank Digital España, S.A.",RANK DIGITAL ESPAÑA SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=dHM1iSaF3FXJLvVamAiNLha7D0oI9DUnueewOM3eM1w=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,BARCELONA
"Ventura24games, SA",VENTURA24GAMES SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=U+84Bf0a4GTgVJiXHEIbRK/36VGGArs+JwY5sDTIcT0=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,MADRID
"Vive La Suerte, SA",VIVE LA SUERTE SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=Qj77A+JTtuHC/l0szcFapw8Xg+3uVpU6yseGWD3P2qs=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,MURCIA
